,edgeR_exact,edgeR_glm,edgeR_rob_pDF10,edgeR_rob_pDF05,edgeR_rob_pDF20,edgeR_rob_auto.pDF,edgeR_ql,DESeq,DESeq2_indFilterDeactive,DESeq2_indFilterDeactiveCooksOff,DESeq2_indFilterActive,LimmaQN,LimmaVoom,LimmaVoom_Robust,LimmaTrended,LimmaTrended_Robust,LimmaVoom_QW,LimmaVst,BaySeq,PoissonSeq,SAMSeq,QuasiSeq_QL,QuasiSeq_QLShrink,QuasiSeq_QLSpline,NOISeq,StR
157,12.52841592,12.52844281,12.46598171,12.46147079,12.4727343,12.45167632,12.52824249,Inf,12.04082041,12.04082041,12.04082041,9.418454155,10.55116352,10.55116352,7.86709532,7.86709532,10.49469627,4.789669069,12,Inf,36.00727903,10.38332055,10.38332055,10.38332055,10.55478891,19.43761508
158,-13.60991575,-13.60991875,-13.60743618,-13.60002237,-13.60992111,-13.58617085,-13.60988968,-Inf,-12.9180363,-12.9180363,-12.9180363,-10.53169992,-11.4243258,-11.4243258,-9.010432542,-9.010432542,-11.40368624,-5.69066662,-12,#NAME?,#NAME?,-10.9646234,-10.9646234,-10.9646234,-11.47057438,46.16212463
159,1.997801655,1.998688666,1.614986419,1.61790882,1.617434468,1.618740442,1.987608458,Inf,1.226943245,1.226943245,1.226943245,0.305299404,0.706928326,0.706928326,0.1342252,0.1342252,0.705126269,0.300617491,12,Inf,0,2.879417233,2.879417233,2.879417233,0.696594472,0.537390387
160,-12.99875536,-12.99874802,-13.00867826,-13.0111316,-13.00609129,-13.01328821,-12.99880181,-Inf,-12.30469045,-12.30469045,-12.30469045,-9.880097395,-10.7496487,-10.7496487,-8.346665376,-8.346665376,-10.83026274,-5.160304549,-12,#NAME?,#NAME?,-10.54483166,-10.54483166,-10.54483166,-10.85315707,20.22243104
161,-12.7494504,-12.74943826,-12.69425372,-12.69047989,-12.69734572,-12.68287906,-12.74952152,-Inf,-12.0512733,-12.0512733,-12.0512733,-9.632339432,-10.47971462,-10.47971462,-8.080802865,-8.080802865,-10.52005447,-4.957556413,-12,#NAME?,#NAME?,-10.36670973,-10.36670973,-10.36670973,-10.59889544,19.37655436
162,-5.518748283,-5.518764065,-4.490517705,-4.497296432,-4.46991466,-4.505848829,-5.521971201,-Inf,-4.7769547,-4.7769547,-4.7769547,-1.5032583,-2.074446547,-2.074446547,-0.939119758,-0.939119758,-2.374187491,-1.219044225,-12,#NAME?,#NAME?,-5.332850335,-5.332850335,-5.332850335,-3.368935534,1.14450502
163,-10.73808399,-10.73808722,-10.73011246,-10.73009965,-10.73027815,-10.73091297,-10.73810994,-Inf,-10.04597814,-10.04597814,-10.04597814,-7.445607473,-8.435059427,-8.435059427,-6.043862551,-6.043862551,-8.454831799,-3.684600788,-12,#NAME?,#NAME?,-8.992495544,-8.992495544,-8.992495544,-8.595721901,10.52847102
164,-10.09022957,-10.09018379,-10.03900737,-10.0367417,-10.04169083,-10.03379771,-10.09006436,-Inf,-9.399791903,-9.399791903,-9.399791903,-6.526248793,-7.582469946,-7.582469946,-5.199974903,-5.199974903,-7.63012492,-3.301599521,-12,#NAME?,#NAME?,-8.539442036,-8.539442036,-8.539442036,-7.95367266,5.926110383
165,-10.13413782,-10.13419348,-10.13405604,-10.13282718,-10.13414585,-10.12895776,-10.13437216,-Inf,-9.438462798,-9.438462798,-9.438462798,-6.777746301,-7.812649385,-7.812649385,-5.435541935,-5.435541935,-7.873044123,-3.385980075,-12,#NAME?,#NAME?,-8.571174004,-8.571174004,-8.571174004,-7.986574193,9.78332568
166,-10.93781355,-10.93782374,-10.80187635,-10.78240011,-10.81523634,-10.75542433,-10.93793217,-Inf,-10.25196378,-10.25196378,-10.25196378,-7.57524828,-8.57982499,-8.57982499,-6.194628663,-6.194628663,-8.558439467,-3.76754357,-12,#NAME?,#NAME?,-9.126503699,-9.126503699,-9.126503699,-8.800143567,10.81828538
