,edgeR_exact,edgeR_glm,edgeR_rob_pDF10,edgeR_rob_pDF05,edgeR_rob_pDF20,edgeR_rob_auto.pDF,edgeR_ql,DESeq,DESeq2_indFilterDeactive,DESeq2_indFilterDeactiveCooksOff,DESeq2_indFilterActive,LimmaQN,LimmaVoom,LimmaVoom_Robust,LimmaTrended,LimmaTrended_Robust,LimmaVoom_QW,LimmaVst,BaySeq,PoissonSeq,SAMSeq,QuasiSeq_QL,QuasiSeq_QLShrink,QuasiSeq_QLSpline,NOISeq,StR
82,1.42E-39,2.07E-42,1.47E-46,1.27E-52,2.29E-40,2.72E-64,4.09E-15,4.63E-23,3.74E-39,3.74E-39,3.74E-39,7.08E-28,1.87E-28,2.13E-28,2.11E-22,6.42E-22,1.17E-29,3.98E-34,0,3.63E-05,0,3.54E-28,4.87E-28,1.65E-26,8.75E-14,5.972718818
83,2.65E-161,7.72E-172,7.74E-197,1.21E-195,5.53E-199,3.47E-194,1.85E-19,1.23E-82,3.35E-131,3.35E-131,3.35E-131,6.12E-40,8.40E-42,1.14E-41,6.33E-37,2.32E-37,2.16E-41,4.59E-34,0,0,0,2.89E-32,3.68E-34,1.69E-34,7.77E-16,12.99041909
84,8.43E-09,1.15E-09,4.54E-08,4.69E-08,4.24E-08,4.75E-08,1.43E-05,0.002254376,0.000153783,0.000153783,0.000153783,7.60E-06,3.95E-07,4.13E-07,0.000403898,0.000411475,8.96E-08,5.04E-10,1.22E-06,0.000404145,0,7.82E-09,3.16E-09,3.74E-09,0.064100668,1.120980287
85,1.62E-83,5.98E-84,4.87E-97,8.60E-104,9.45E-91,1.44E-114,1.81E-17,3.23E-59,7.04E-86,7.04E-86,7.04E-86,5.52E-34,5.28E-36,5.98E-36,1.11E-29,3.95E-30,4.87E-37,1.13E-33,0,0,0,3.82E-30,4.32E-31,3.47E-31,0,9.029285659
86,2.95E-71,6.89E-70,3.75E-82,8.46E-87,1.50E-77,2.25E-94,2.59E-16,1.17E-57,4.17E-77,4.17E-77,4.17E-77,8.00E-33,3.31E-34,3.72E-34,3.23E-26,1.76E-26,2.20E-35,9.17E-32,0,0,0,2.35E-28,3.02E-29,2.50E-29,2.55E-15,7.18954734
87,5.30E-287,3.8947794156377e-313,0,0,0,0,7.14E-27,7.30E-82,1.65E-160,1.65E-160,1.65E-160,6.08E-55,1.07E-53,1.33E-53,7.77E-48,3.47E-49,1.25E-53,1.01E-48,0,0,0,6.90E-48,6.69E-48,7.11E-48,0,34.99534432
88,4.78E-277,1.59E-297,0,0,8.16690512575581e-320,0,1.95E-25,3.32E-80,2.07E-155,2.07E-155,2.07E-155,7.56E-53,1.41E-49,1.62E-49,2.29E-46,2.20E-47,8.66E-51,9.97E-46,0,0,0,4.05E-44,3.98E-45,3.90E-45,0,27.93237989
89,2.22E-17,3.65E-20,2.94E-22,3.28E-23,1.99E-21,5.08E-25,1.13E-10,6.92E-09,5.34E-16,5.34E-16,5.34E-16,6.93E-13,1.74E-18,1.91E-18,9.55E-12,1.18E-11,2.70E-19,3.78E-18,5.17E-13,9.84E-05,0,3.37E-18,1.47E-18,4.89E-18,0.002006104,2.457478023
90,5.19E-103,9.72E-99,1.98E-131,5.49E-173,7.03E-103,1.79E-305,5.57E-21,1.43E-55,5.49E-95,5.49E-95,5.49E-95,2.32E-41,2.76E-43,3.29E-43,4.59E-38,2.72E-39,1.88E-44,3.75E-42,0,0,0,1.37E-40,8.50E-39,8.67E-39,0,17.68473505
91,1.11E-12,9.66E-14,3.02E-11,6.14E-11,1.01E-11,1.29E-10,2.01E-06,2.10E-05,5.51E-09,5.51E-09,5.51E-09,2.70E-06,3.14E-09,3.35E-09,0.000101893,0.000105365,3.12E-09,1.99E-13,6.13E-09,0.000100173,0,7.67E-10,2.21E-10,2.44E-10,0.039819535,1.220187923
92,7.27E-18,2.31E-18,1.13E-24,9.48E-25,1.62E-24,5.45E-25,2.54E-07,0.002903997,1.61E-21,1.61E-21,1.61E-21,5.90E-10,5.21E-14,5.80E-14,1.43E-08,1.66E-08,7.91E-16,5.51E-13,2.66E-10,5.01E-05,0,8.85E-12,1.88E-12,1.62E-12,0.006075522,1.916505975
93,0,0,0,0,0,0,4.02E-25,3.06E-105,6.05E-218,6.05E-218,6.05E-218,5.10E-55,7.95E-50,8.78E-50,2.11E-49,2.96E-49,1.54E-48,1.06E-45,0,0,0,1.80E-43,9.78E-46,8.47E-46,1.15E-14,28.24484392
94,7.63E-08,1.17E-08,1.05E-08,1.66E-08,6.93E-09,4.63E-08,1.39E-05,0.000263269,0.000234039,0.000234039,0.000234039,6.46E-06,1.02E-05,1.05E-05,4.23E-05,4.33E-05,1.98E-06,1.24E-06,2.71E-06,0.000649396,0.00258,5.60E-09,2.71E-09,1.33E-09,0.05466632,1.092283013
95,1.58E-66,1.16E-62,1.31E-77,3.63E-89,2.06E-67,3.48E-111,4.18E-17,5.60E-47,1.33E-70,1.33E-70,1.33E-70,3.40E-32,1.53E-36,1.74E-36,1.61E-27,1.04E-27,2.50E-37,5.93E-36,0,0,0,1.60E-32,3.56E-32,6.74E-32,9.99E-16,8.360322205
96,8.58E-09,1.98E-10,5.86E-11,8.45E-11,2.92E-11,1.77E-10,2.53E-06,3.37E-05,7.04E-06,7.04E-06,7.04E-06,1.28E-05,3.28E-09,3.49E-09,4.20E-05,4.31E-05,3.58E-10,1.78E-07,3.56E-07,0.000388601,0,3.51E-10,1.46E-10,6.57E-11,0.082831755,1.154722305
97,6.86E-19,2.25E-19,8.19E-20,1.39E-18,7.84E-22,2.64E-17,2.55E-07,1.39E-07,2.30E-21,2.30E-21,2.30E-21,5.47E-08,1.08E-10,1.17E-10,1.16E-06,1.23E-06,6.20E-12,8.56E-12,1.58E-10,1.55E-05,0,6.73E-12,1.34E-12,1.03E-12,1.89E-15,1.439383661
98,1.63E-07,7.63E-09,1.12E-08,1.12E-08,1.12E-08,1.12E-08,5.80E-09,0.004493988,1.77E-05,1.77E-05,1.77E-05,6.04E-17,1.33E-18,1.61E-18,1.00E-14,1.09E-14,8.16E-19,1.11E-26,9.89E-08,0.000894646,0,5.61E-24,3.33E-21,4.83E-20,0.173982636,3.704891232
